               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14398,            0.017381,                   0,          0.00087778,            0.091435,          0.00053898,          0.00012729,             0.13176,            0.018631,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.12695,             0.01974,                   0,             0.16358,             0.10069,            0.047792,            0.011305,             0.11238,            0.024034,                   0,            0.082825,           0.0018248,           0.0018248
                   2,             0.10812,            0.023337,                   0,             0.22024,             0.20595,             0.10125,             0.02626,             0.10227,            0.026754,                   0,             0.07367,           0.0026703,           0.0026703
                   3,            0.094372,            0.025252,                   0,             0.22213,             0.28472,             0.12246,            0.033373,            0.096203,            0.040093,                   0,            0.064437,           0.0034367,           0.0034367
                   4,            0.087393,             0.02328,                   0,             0.10424,             0.26968,            0.064254,             0.02187,             0.10633,            0.029942,                   0,            0.055124,           0.0041238,           0.0041238
                   5,            0.083614,            0.021665,                   0,             0.35678,             0.34722,             0.27603,             0.10372,            0.090342,            0.023731,                   0,            0.045732,           0.0047318,           0.0047318
                   6,            0.081282,            0.020417,                   0,             0.29141,             0.30464,             0.19202,            0.055561,            0.099897,            0.021707,                   0,            0.036261,           0.0052606,           0.0052606
                   7,            0.079277,            0.019461,                   0,               0.391,             0.38889,               0.328,             0.12253,            0.085879,            0.021199,                   0,             0.02671,           0.0057101,           0.0057101
                   8,            0.075745,            0.018325,                   0,             0.29618,             0.36227,             0.26127,            0.092892,            0.094896,            0.019763,                   0,             0.01708,           0.0060805,           0.0060805
                   9,            0.076466,             0.01868,                   0,             0.36755,             0.39468,             0.35014,             0.14262,            0.085793,            0.021811,                   0,           0.0073716,           0.0063716,           0.0063716
                  10,            0.072123,            0.017937,                   0,             0.59249,             0.45718,             0.49254,             0.22983,            0.075141,            0.021165,                   0,             0.00604,             0.00604,             0.00604
                  11,            0.068251,            0.018199,                   0,             0.54761,             0.45023,              0.4699,             0.18648,            0.075209,             0.02147,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.066123,            0.017625,                   0,               0.583,             0.50001,             0.50035,              0.2144,            0.071946,            0.020714,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.064537,            0.017755,                   0,              0.6755,             0.53729,             0.58937,             0.28611,            0.067588,            0.020356,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.060513,            0.016541,                   0,             0.69533,             0.56366,             0.62191,             0.31906,            0.064856,            0.019355,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.059861,            0.016573,                   0,              0.7932,             0.57292,              0.6575,             0.35174,             0.05899,            0.019471,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.058132,             0.01716,                   0,             0.82548,             0.61316,             0.68937,              0.3519,            0.057025,            0.019373,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.055851,            0.016665,                   0,             0.83183,             0.62731,             0.70182,             0.38205,            0.055844,             0.01887,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.054764,            0.016222,                   0,             0.79513,             0.64815,              0.7098,              0.3724,            0.055226,             0.01843,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.055223,            0.016893,                   0,             0.82806,             0.62985,              0.7197,             0.40008,            0.053786,             0.01828,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.053355,            0.016425,                   0,             0.81709,              0.6412,              0.7232,             0.41655,            0.052852,             0.01804,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.052687,            0.016233,                   0,             0.80713,             0.65162,              0.7278,             0.42451,            0.051767,            0.018025,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.049922,            0.015784,                   0,             0.81238,             0.65148,             0.72462,             0.42016,            0.052258,            0.017972,                   0,            0.001684,            0.001684,            0.001684
                  23,             0.05045,            0.015239,                   0,             0.79106,             0.67482,             0.72917,             0.42574,            0.051558,            0.017974,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.050781,             0.01617,                   0,             0.75289,              0.6947,             0.73073,             0.43598,            0.050932,            0.017793,                   0,            0.000892,            0.000892,            0.000892
